episode,reward
0,1915.0
1,1605.0
2,615.0
3,370.0
4,1177.5
5,1162.5
6,810.0
7,825.0
8,647.5
9,702.5
10,1627.5
11,1187.5
12,755.0
13,947.5
14,1255.0
15,1237.5
16,1052.5
17,1242.5
18,1272.5
19,842.5
20,397.5
21,1060.0
22,1200.0
23,882.5
24,2102.5
25,1040.0
26,1317.5
27,1157.5
28,1137.5
29,690.0
30,1402.5
31,1267.5
32,442.5
33,1547.5
34,560.0
35,627.5
36,1442.5
37,1707.5
38,1710.0
39,1092.5
40,550.0
41,977.5
42,567.5
43,525.0
44,670.0
45,1057.5
46,690.0
47,727.5
48,647.5
49,1152.5
50,390.0
51,717.5
52,390.0
53,1010.0
54,700.0
55,400.0
56,1547.5
57,445.0
58,1365.0
59,860.0
60,1215.0
61,495.0
62,2245.0
63,1480.0
64,1405.0
65,1705.0
66,1127.5
67,1060.0
68,1517.5
69,1265.0
70,1957.5
71,872.5
72,750.0
73,487.5
74,1107.5
75,567.5
76,1880.0
77,467.5
78,1097.5
79,1457.5
80,1422.5
81,972.5
82,1552.5
83,1437.5
84,730.0
85,980.0
86,1595.0
87,427.5
88,940.0
89,1060.0
90,712.5
91,852.5
92,912.5
93,1225.0
94,1440.0
95,885.0
96,870.0
97,1850.0
98,1325.0
99,1665.0
100,1145.0
101,1287.5
102,695.0
103,1450.0
104,1057.5
105,472.5
106,1280.0
107,912.5
108,1275.0
109,1445.0
110,897.5
111,855.0
112,1575.0
113,890.0
114,1055.0
115,980.0
116,1990.0
117,1155.0
118,802.5
119,847.5
120,795.0
121,562.5
122,872.5
123,927.5
124,1715.0
125,1410.0
126,1397.5
127,262.5
128,1247.5
129,1037.5
130,1162.5
131,1227.5
132,1045.0
133,2707.5
134,1070.0
135,1150.0
136,1085.0
137,2355.0
138,1247.5
139,960.0
140,645.0
141,1137.5
142,1410.0
143,520.0
144,1535.0
145,1690.0
146,1110.0
147,620.0
148,645.0
149,665.0
150,802.5
151,1842.5
152,1962.5
153,1070.0
154,487.5
155,970.0
156,842.5
157,750.0
158,1740.0
159,1685.0
160,625.0
161,1000.0
162,900.0
163,732.5
164,695.0
165,927.5
166,657.5
167,542.5
168,1105.0
169,945.0
170,697.5
171,1392.5
172,822.5
173,677.5
174,1075.0
175,1100.0
176,2537.5
177,1225.0
178,1305.0
179,880.0
180,1340.0
181,550.0
182,1232.5
183,977.5
184,577.5
185,955.0
186,630.0
187,1217.5
188,965.0
189,677.5
190,1012.5
191,1192.5
192,1485.0
193,1335.0
194,1607.5
195,897.5
196,1652.5
197,820.0
198,1435.0
199,1010.0
200,1732.5
201,687.5
202,780.0
203,1010.0
204,762.5
205,1227.5
206,715.0
207,875.0
208,1067.5
209,2115.0
210,1945.0
211,1067.5
212,1220.0
213,450.0
214,707.5
215,707.5
216,872.5
217,915.0
218,287.5
219,1215.0
220,675.0
221,1505.0
222,1240.0
223,805.0
224,1205.0
225,725.0
226,912.5
227,1220.0
228,920.0
229,1265.0
230,697.5
231,667.5
232,895.0
233,1285.0
234,502.5
235,575.0
236,1560.0
237,1355.0
238,1485.0
239,910.0
240,1387.5
241,1537.5
242,1260.0
243,1682.5
244,2762.5
245,695.0
246,1585.0
247,1327.5
248,1240.0
249,735.0
250,857.5
251,1312.5
252,822.5
253,627.5
254,1005.0
255,587.5
256,1417.5
257,1585.0
258,835.0
259,847.5
260,622.5
261,480.0
262,1597.5
263,1200.0
264,727.5
265,960.0
266,1517.5
267,1752.5
268,737.5
269,955.0
270,1150.0
271,1695.0
272,2302.5
273,1892.5
274,722.5
275,1047.5
276,487.5
277,1072.5
278,1450.0
279,787.5
280,1565.0
281,1047.5
282,1305.0
283,765.0
284,855.0
285,1347.5
286,2027.5
287,362.5
288,1737.5
289,880.0
290,617.5
291,960.0
292,1852.5
293,1695.0
294,420.0
295,802.5
296,672.5
297,1260.0
298,480.0
299,1270.0
300,545.0
301,1230.0
302,765.0
303,1202.5
304,402.5
305,1152.5
306,1620.0
307,1857.5
308,847.5
309,1332.5
310,1750.0
311,760.0
312,1290.0
313,800.0
314,597.5
315,957.5
316,665.0
317,1450.0
318,1712.5
319,1170.0
320,870.0
321,562.5
322,1382.5
323,1160.0
324,665.0
325,1325.0
326,697.5
327,860.0
328,780.0
329,607.5
330,1505.0
331,400.0
332,1090.0
333,1865.0
334,905.0
335,935.0
336,1225.0
337,422.5
338,1280.0
339,822.5
340,932.5
341,1032.5
342,660.0
343,1192.5
344,845.0
345,1207.5
346,1087.5
347,672.5
348,572.5
349,617.5
350,1475.0
351,1335.0
352,1437.5
353,1437.5
354,890.0
355,1592.5
356,3702.5
357,740.0
358,422.5
359,750.0
360,1495.0
361,627.5
362,562.5
363,1542.5
364,1025.0
365,720.0
366,975.0
367,625.0
368,2817.5
369,1325.0
370,607.5
371,1792.5
372,850.0
373,870.0
374,787.5
375,1022.5
376,1987.5
377,927.5
378,685.0
379,1167.5
380,712.5
381,1667.5
382,530.0
383,940.0
384,1482.5
385,765.0
386,1000.0
387,520.0
388,862.5
389,1445.0
390,1647.5
391,1400.0
392,1700.0
393,1885.0
394,1182.5
395,2017.5
396,1230.0
397,1570.0
398,1705.0
399,402.5
400,695.0
401,1507.5
402,1280.0
403,1217.5
404,1360.0
405,1350.0
406,852.5
407,1177.5
408,1105.0
409,1057.5
410,1102.5
411,922.5
412,747.5
413,1252.5
414,492.5
415,437.5
416,2262.5
417,805.0
418,537.5
419,1915.0
420,627.5
421,1317.5
422,1145.0
423,1115.0
424,1472.5
425,2067.5
426,1480.0
427,595.0
428,1585.0
429,1180.0
430,790.0
431,822.5
432,1062.5
433,957.5
434,1267.5
435,2312.5
436,1552.5
437,1490.0
438,1392.5
439,1517.5
440,1087.5
441,835.0
442,1370.0
443,1122.5
444,1140.0
445,677.5
446,1050.0
447,1772.5
448,985.0
449,1250.0
450,530.0
451,1867.5
452,1677.5
453,1237.5
454,652.5
455,1097.5
456,885.0
457,592.5
458,800.0
459,1235.0
460,862.5
461,650.0
462,2267.5
463,1047.5
464,1180.0
465,912.5
466,1417.5
467,550.0
468,1107.5
469,632.5
470,1312.5
471,545.0
472,1982.5
473,1017.5
474,540.0
475,515.0
476,1382.5
477,1205.0
478,692.5
479,1355.0
480,457.5
481,485.0
482,650.0
483,602.5
484,447.5
485,442.5
486,667.5
487,665.0
488,952.5
489,895.0
490,1445.0
491,2190.0
492,1390.0
493,857.5
494,1922.5
495,727.5
496,950.0
497,1755.0
498,1222.5
499,1500.0
500,1117.5
501,1015.0
502,1012.5
503,1707.5
504,2127.5
505,1165.0
506,720.0
507,487.5
508,582.5
509,972.5
510,672.5
511,1572.5
512,1147.5
513,762.5
514,1112.5
515,1302.5
516,1172.5
517,1930.0
518,1570.0
519,1445.0
520,640.0
521,787.5
522,1277.5
523,690.0
524,1932.5
525,942.5
526,1077.5
527,1395.0
528,1397.5
529,1520.0
530,1160.0
531,450.0
532,592.5
533,1445.0
534,3300.0
535,1870.0
536,1062.5
537,575.0
538,1030.0
539,527.5
540,2462.5
541,1177.5
542,362.5
543,1522.5
544,1437.5
545,1412.5
546,1065.0
547,977.5
548,1132.5
549,1535.0
550,755.0
551,1527.5
552,1235.0
553,662.5
554,1542.5
555,1175.0
556,555.0
557,1272.5
558,1187.5
559,1022.5
560,787.5
561,1397.5
562,712.5
563,1310.0
564,585.0
565,1385.0
566,1307.5
567,1330.0
568,1197.5
569,897.5
570,2337.5
571,1347.5
572,1425.0
573,815.0
574,817.5
575,487.5
576,1125.0
577,1975.0
578,757.5
579,1020.0
580,840.0
581,1705.0
582,645.0
583,877.5
584,810.0
585,1357.5
586,1240.0
587,2525.0
588,902.5
589,637.5
590,1077.5
591,1205.0
592,710.0
593,715.0
594,627.5
595,782.5
596,1257.5
597,532.5
598,950.0
599,957.5
600,735.0
601,760.0
602,642.5
603,1092.5
604,622.5
605,1055.0
606,885.0
607,432.5
608,907.5
609,537.5
610,1195.0
611,1005.0
612,1175.0
613,887.5
614,1972.5
615,1015.0
616,415.0
617,630.0
